;SLOT_START;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DE_DEMAND_[MW];DE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DE_IMPORT(-)_EXPORT(+)_[MW]
0;2020-07-01 00:00:00+00:00;31.46;573.0;31.46;-49.0
1;2020-07-01 04:00:00+00:00;23.51;573.0;23.51;-22.0
2;2020-07-01 08:00:00+00:00;21.07;573.0;21.07;1.0
3;2020-07-01 12:00:00+00:00;16.67;573.0;16.67;9.0
4;2020-07-01 16:00:00+00:00;28.56;573.0;28.56;-19.0
5;2020-07-01 20:00:00+00:00;19.15;573.0;19.15;-33.0
6;2020-07-02 00:00:00+00:00;18.0;573.0;18.0;-63.0
7;2020-07-02 04:00:00+00:00;20.0;573.0;20.0;-57.0
8;2020-07-02 08:00:00+00:00;16.6;573.0;16.6;-91.0
9;2020-07-02 12:00:00+00:00;12.5;573.0;12.5;-95.0
10;2020-07-02 16:00:00+00:00;16.0;573.0;16.0;-90.0
11;2020-07-02 20:00:00+00:00;16.67;573.0;16.67;-86.0
12;2020-07-03 00:00:00+00:00;16.67;573.0;16.67;11.0
13;2020-07-03 04:00:00+00:00;19.06;573.0;19.06;13.0
14;2020-07-03 08:00:00+00:00;17.72;573.0;17.72;-65.0
15;2020-07-03 12:00:00+00:00;16.67;573.0;16.67;-11.0
16;2020-07-03 16:00:00+00:00;18.0;573.0;18.0;-81.0
17;2020-07-03 20:00:00+00:00;16.67;573.0;16.67;-127.0
18;2020-07-04 00:00:00+00:00;27.12;573.0;27.12;-57.0
19;2020-07-04 04:00:00+00:00;35.4;573.0;35.4;-64.0
20;2020-07-04 08:00:00+00:00;36.24;573.0;36.24;-86.0
21;2020-07-04 12:00:00+00:00;51.26;573.0;51.26;-74.0
22;2020-07-04 16:00:00+00:00;37.6;573.0;37.6;-86.0
23;2020-07-04 20:00:00+00:00;24.96;573.0;24.96;-88.0
24;2020-07-05 00:00:00+00:00;48.0;573.0;48.0;-51.0
25;2020-07-05 04:00:00+00:00;59.65;573.0;59.65;-43.0
26;2020-07-05 08:00:00+00:00;68.0;573.0;68.0;-82.0
27;2020-07-05 12:00:00+00:00;126.12;573.0;126.12;-85.0
28;2020-07-05 16:00:00+00:00;88.9;573.0;88.9;-34.0
29;2020-07-05 20:00:00+00:00;39.2;573.0;39.2;-37.0
30;2020-07-06 00:00:00+00:00;59.7;573.0;59.7;13.0
31;2020-07-06 04:00:00+00:00;48.95;573.0;48.95;21.0
32;2020-07-06 08:00:00+00:00;56.94;573.0;56.94;-29.0
33;2020-07-06 12:00:00+00:00;113.04;573.0;113.04;-64.0
34;2020-07-06 16:00:00+00:00;59.19;573.0;59.19;-27.0
35;2020-07-06 20:00:00+00:00;38.83;573.0;38.83;19.0
42;2020-07-07 00:00:00+00:00;22.39;573.0;22.39;21.0
43;2020-07-07 04:00:00+00:00;20.34;573.0;20.34;-42.0
44;2020-07-07 08:00:00+00:00;19.4;573.0;19.4;-72.0
45;2020-07-07 12:00:00+00:00;22.0;573.0;22.0;-53.0
46;2020-07-07 16:00:00+00:00;19.0;573.0;19.0;-65.0
47;2020-07-07 20:00:00+00:00;12.63;573.0;12.63;-110.0
48;2020-07-08 00:00:00+00:00;17.2;573.0;17.2;-37.0
49;2020-07-08 04:00:00+00:00;26.4;573.0;26.4;-36.0
50;2020-07-08 08:00:00+00:00;27.4;573.0;27.4;-23.0
51;2020-07-08 12:00:00+00:00;17.2;573.0;17.2;-29.0
52;2020-07-08 16:00:00+00:00;19.12;573.0;19.12;-45.0
53;2020-07-08 20:00:00+00:00;17.2;573.0;17.2;-30.0
