SLOT_START;GATE_CLOSURE_TIME;total;GERMANY_BLOCK_DEMAND_[MW];GERMANY_BLOCK_EXPORT_LIMIT_[MW];GERMANY_BLOCK_CORE_PORTION_[MW];BELGIUM_BLOCK_DEMAND_[MW];BELGIUM_BLOCK_EXPORT_LIMIT_[MW];BELGIUM_BLOCK_CORE_PORTION_[MW];FRANCE_BLOCK_DEMAND_[MW];FRANCE_BLOCK_EXPORT_LIMIT_[MW];FRANCE_BLOCK_CORE_PORTION_[MW];NETHERLANDS_BLOCK_DEMAND_[MW];NETHERLANDS_BLOCK_EXPORT_LIMIT_[MW];NETHERLANDS_BLOCK_CORE_PORTION_[MW];AUSTRIA_BLOCK_DEMAND_[MW];AUSTRIA_BLOCK_EXPORT_LIMIT_[MW];AUSTRIA_BLOCK_CORE_PORTION_[MW];SWITZERLAND_BLOCK_DEMAND_[MW];SWITZERLAND_BLOCK_EXPORT_LIMIT_[MW];SWITZERLAND_BLOCK_CORE_PORTION_[MW];SLOVENIA_BLOCK_DEMAND_[MW];SLOVENIA_BLOCK_EXPORT_LIMIT_[MW];SLOVENIA_BLOCK_CORE_PORTION_[MW];DENMARK_BLOCK_DEMAND_[MW];DENMARK_BLOCK_EXPORT_LIMIT_[MW];DENMARK_BLOCK_CORE_PORTION_[MW]
2020-06-30 22:00:00+00:00;2020-06-30 06:00:00+00:00;1373.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;25.0;100.0;20.0;;;;;;
2020-07-01 02:00:00+00:00;2020-06-30 06:00:00+00:00;1373.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;25.0;100.0;20.0;;;;;;
2020-07-01 06:00:00+00:00;2020-06-30 06:00:00+00:00;1373.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;25.0;100.0;20.0;;;;;;
2020-07-01 10:00:00+00:00;2020-06-30 06:00:00+00:00;1373.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;25.0;100.0;20.0;;;;;;
2020-07-01 14:00:00+00:00;2020-06-30 06:00:00+00:00;1373.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;25.0;100.0;20.0;;;;;;
2020-07-01 18:00:00+00:00;2020-06-30 06:00:00+00:00;1373.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;25.0;100.0;20.0;;;;;;
2020-07-01 22:00:00+00:00;2020-07-01 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-02 02:00:00+00:00;2020-07-01 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-02 06:00:00+00:00;2020-07-01 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-02 10:00:00+00:00;2020-07-01 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-02 14:00:00+00:00;2020-07-01 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-02 18:00:00+00:00;2020-07-01 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-02 22:00:00+00:00;2020-07-02 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-03 02:00:00+00:00;2020-07-02 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-03 06:00:00+00:00;2020-07-02 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-03 10:00:00+00:00;2020-07-02 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-03 14:00:00+00:00;2020-07-02 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-03 18:00:00+00:00;2020-07-02 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-03 22:00:00+00:00;2020-07-03 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-04 02:00:00+00:00;2020-07-03 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-04 06:00:00+00:00;2020-07-03 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-04 10:00:00+00:00;2020-07-03 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-04 14:00:00+00:00;2020-07-03 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-04 18:00:00+00:00;2020-07-03 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-04 22:00:00+00:00;2020-07-04 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-05 02:00:00+00:00;2020-07-04 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-05 06:00:00+00:00;2020-07-04 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-05 10:00:00+00:00;2020-07-04 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-05 14:00:00+00:00;2020-07-04 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-05 18:00:00+00:00;2020-07-04 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-05 22:00:00+00:00;2020-07-05 06:00:00+00:00;897.0;573.0;171.0;172.0;78.0;100.0;24.0;;;;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-06 02:00:00+00:00;2020-07-05 06:00:00+00:00;897.0;573.0;171.0;172.0;78.0;100.0;24.0;;;;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-06 06:00:00+00:00;2020-07-05 06:00:00+00:00;897.0;573.0;171.0;172.0;78.0;100.0;24.0;;;;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-06 10:00:00+00:00;2020-07-05 06:00:00+00:00;897.0;573.0;171.0;172.0;78.0;100.0;24.0;;;;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-06 14:00:00+00:00;2020-07-05 06:00:00+00:00;897.0;573.0;171.0;172.0;78.0;100.0;24.0;;;;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-06 18:00:00+00:00;2020-07-05 06:00:00+00:00;897.0;573.0;171.0;172.0;78.0;100.0;24.0;;;;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-06 22:00:00+00:00;2020-07-06 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-07 02:00:00+00:00;2020-07-06 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-07 06:00:00+00:00;2020-07-06 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-07 10:00:00+00:00;2020-07-06 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-07 14:00:00+00:00;2020-07-06 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-07 18:00:00+00:00;2020-07-06 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
2020-07-07 22:00:00+00:00;2020-07-07 06:00:00+00:00;1413.0;573.0;171.0;172.0;78.0;100.0;24.0;516.0;154.0;155.0;113.0;100.0;34.0;68.0;100.0;21.0;65.0;100.0;20.0;;;;;;
