Datum;Uhrzeit;Deutschland/Luxemburg[€/MWh];∅ Anrainer DE/LU[€/MWh];Belgien[€/MWh];Dänemark 1[€/MWh];Dänemark 2[€/MWh];Frankreich[€/MWh];Niederlande[€/MWh];Norwegen 2[€/MWh];Österreich[€/MWh];Polen[€/MWh];Schweden 4[€/MWh];Schweiz[€/MWh];Tschechien[€/MWh];DE/AT/LU[€/MWh];Italien (Nord)[€/MWh];Slowenien[€/MWh];Ungarn[€/MWh]
01.07.2020;00:00;23,92;21,2;23,92;0,95;0,95;35;23,92;0,95;26,56;44,19;0,95;31,96;26,34;-;35;35;33,11
01.07.2020;01:00;25,04;20;21,04;0,6;0,6;30,31;21,92;0,6;26,28;44,14;0,6;29,5;26,08;-;30,31;30,31;27,34
01.07.2020;02:00;25,59;19,46;24,48;0,46;0,46;27,05;24,72;0,46;25,93;43,61;0,46;27,95;24,5;-;27,05;27,05;24,66
01.07.2020;03:00;25,03;18,99;25;0,46;0,46;25,07;25,01;0,46;25,04;43,61;0,46;26,71;24,06;-;25,68;25,68;24,93
01.07.2020;04:00;24,78;21,74;24,32;13,43;13,43;25,38;24,42;0,59;24,92;42,58;0,59;26,54;24,33;-;25,5;25,5;25
01.07.2020;05:00;25,89;25,32;25,34;25,49;25,49;26,63;25,49;1;26,07;43,61;1,36;28,1;25,67;-;26,63;26,63;28,14
01.07.2020;06:00;33,75;35,03;33,75;33,75;33,75;33,75;33,75;1,32;33,75;54,9;23,09;34,98;33,58;-;35,68;35,68;48,07
01.07.2020;07:00;37,97;39,42;37,97;37,97;37,97;37,97;37,97;1,4;37,97;48,82;37,05;39,56;39,5;-;42,44;42,44;47,96
01.07.2020;08:00;39,99;41,35;39,99;39,99;39,99;39,99;39,99;1,43;39,99;49,57;39,03;42,08;41,5;-;46;46;46,12
01.07.2020;09:00;38,29;40,76;38,1;38,29;38,29;39,75;38,1;1,47;38,29;58,19;37,37;39,15;39,37;-;47;47;42,24
01.07.2020;10:00;37,06;38,84;37,25;37,06;37,06;39,31;37,25;1,5;37,06;52,99;37,06;35,87;35,88;-;47;47;41,03
01.07.2020;11:00;36,14;38,69;36,82;36,14;36,14;38,86;36,82;1,49;36,14;58,62;36,14;34,91;34,48;-;47,57;47,57;43
01.07.2020;12:00;28,4;34,56;28,65;28,4;28,4;40,15;28,4;1,47;31,81;58,75;28,4;33,76;33;-;40,15;40,15;43,53
01.07.2020;13:00;24,16;31,61;27,27;24,16;24,16;39,41;24,16;1,46;28,73;55,11;24,16;33,55;31,01;-;44,17;44,17;44,52
01.07.2020;14:00;25;30,74;25;25;25;35,63;25;1,46;27,61;50,41;25;33,57;29,4;-;45,53;45,53;43,19
